top - 10:50:46 up 14 days,  2:13, 81 users,  load average: 86.41, 41.00, 30.10
Tasks: 5031 total,   8 running, 5008 sleeping,   7 stopped,   8 zombie
%Cpu(s): 50.8 us,  7.6 sy,  0.0 ni, 40.6 id,  0.0 wa,  0.8 hi,  0.2 si,  0.0 st
MiB Mem : 1547035.+total, 330557.2 free, 294884.5 used, 937498.7 buff/cache
MiB Swap:   8000.0 total,     19.6 free,   7980.4 used. 1252151.+avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
2826658 sn5698    20   0   26.4g   6.1g 204288 S  7931   0.4  62:23.37 python
   7778 root       0 -20   51.1g  10.6g   3.2g S 268.6   0.7  14087:51 mmfsd
3340457 yl8184    20   0   95704   4184      0 S  88.6   0.0   1:56.20 rg
2632182 yw1077    20   0  326744 288068      0 R  82.9   0.0  65:28.24 python
3766655 ls1546    20   0   33792   3072      0 R  82.9   0.0 366:26.63 rsync
2847342 rb3242    20   0   84.8g 743504  24576 S  80.0   0.0  34:53.14 claude
3355658 ec9834    20   0   84600  73964  12288 R  80.0   0.0   0:31.50 pip3
3766649 ls1546    20   0   33764   7680   4608 R  80.0   0.0 347:02.07 rsync
3360426 ra1336    20   0   86412  57088   1536 S  45.7   0.0   0:00.16 rg
3360413 rb3242    20   0   25096  10752   4608 R  40.0   0.0   0:00.29 top
3032712 re2099    20   0   11.2g  58668  23040 S  28.6   0.0   0:15.23 node
   6059 root      20   0       0      0      0 S  22.9   0.0 223:37.62 gpfsSwapdKproc
2076067 jh1161    20   0   81.7g   1.0g  15360 S  17.1   0.1 579:08.16 claude
3348913 ra1336    20   0 5266184 483980  47616 S  11.4   0.0   0:08.09 language_server
   4977 root      20   0  263840 229980  58368 S   5.7   0.0 525:26.16 sssd_nss
2146694 ap34      20   0  109.3g 417500  33792 R   5.7   0.0   1:46.35 node
2579729 st3812    20   0   72.7g 863932  30720 S   5.7   0.1   2:27.19 node
3111978 ia3026    20   0   52.4g 661424  32256 S   5.7   0.0   0:11.97 node
3267920 nr3764    20   0  104.6g 634748  30720 S   5.7   0.0   1:53.81 node
    840 root      20   0       0      0      0 S   2.9   0.0   0:57.59 ksoftirqd/135
  69654 wy1473    20   0   82.6g 725708  24576 S   2.9   0.0   0:53.57 node
 386939 hk4638    20   0   22.3g  18.5g  24576 S   2.9   1.2  55:38.75 python
1017170 ly3223    20   0   77.7g 486388  12288 S   2.9   0.0   5:06.74 claude
1836486 gl9102    20   0    8788   3072   3072 S   2.9   0.0   5:53.23 run.sh
1851930 vn7241    20   0   11.3g 113256  26112 S   2.9   0.0   0:07.64 node
1897699 pw6807    20   0   11.3g 126840  26112 S   2.9   0.0   0:17.18 node
2033293 cx2502    20   0  301040   9212   3072 S   2.9   0.0   0:08.48 code-c3a26841a8
2212208 sl8264    20   0   84.3g 278200  27648 S   2.9   0.0   0:37.64 node
2291276 jg9904    20   0   99.6g 366248  30720 S   2.9   0.0   3:53.03 node
2297072 st3812    20   0   15.6g 219224  19956 S   2.9   0.0   7:53.83 python
2374021 pw6807    20   0  300668  16840   3072 S   2.9   0.0   0:11.56 code-591199df40
2413918 vincenzi  20   0   52.2g 510060  29184 S   2.9   0.0   0:10.78 node
2477736 jk9808    20   0   52.7g 933992  30720 S   2.9   0.1   0:38.54 node
2579922 st3812    20   0 1114040  37444  21504 S   2.9   0.0   0:04.85 node
2626914 yw1077    20   0   52.7g 859012  33792 S   2.9   0.1   0:44.81 node
2678167 ac0340    20   0   43.5g   1.7g  29184 S   2.9   0.1   0:53.27 node
2902625 al2926    20   0   78.4g 642224  21504 S   2.9   0.0   2:10.50 claude
2934851 tl0463    20   0    8236   1536   1536 S   2.9   0.0  44:58.69 tmux: server
2964853 st3812    20   0  467408 305252  12288 S   2.9   0.0  22:17.49 python
3023609 mg7411    20   0   31.4g 117260  26112 S   2.9   0.0  25:02.19 claude
3030394 root      20   0       0      0      0 I   2.9   0.0   0:01.37 kworker/u791:2-events_unbound
3079159 lv7805    20   0  110.1g 333352  30720 S   2.9   0.0   0:37.51 node
3267110 nr3764    20   0   11.4g 148984  21504 S   2.9   0.0   0:18.64 node
3273252 yc9182    20   0   52.2g 500136  32256 S   2.9   0.0   0:08.21 node
3275456 st0490    20   0 1093272  48752  19968 S   2.9   0.0   0:01.76 node
3280327 nr3764    20   0   77.6g 369536  18432 S   2.9   0.0   0:30.74 claude
3348538 ra1336    20   0   42.1g 361224  33792 S   2.9   0.0   0:09.43 node
3360440 gl9102    20   0   22400  12620   3072 R   2.9   0.0   0:00.01 encode_textfile
3402968 tl0463    20   0 3843896  81064      0 S   2.9   0.0  74:41.95 ray::DashboardA
3451763 jh1161    20   0   78.5g 727468  26112 S   2.9   0.0  70:47.50 claude
3482190 zc5794    20   0   77.7g 382040  21504 S   2.9   0.0   5:28.16 claude
3935954 sf7734    20   0 1032220 496548   9216 S   2.9   0.0  37:44.12 nvim
      1 root      20   0  188228  14688   8544 S   0.0   0.0 106:08.80 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:27.49 kthreadd
